area_name,salary
Арзамас,38638.333
Волхов,38600.000
Шебекино,38591.810
Тосно,38568.182
Белая Калитва,38522.222
Ташкент,38508.750
Кострома,38505.007
Киев,38500.048
Семенов,38425.000
Тейково,38414.286
Судак,38392.857
Заречный (Свердловская область),38390.000
Кременчуг,38364.300
Искитим,38358.333
Алабино,38333.333
Ленинградская станица,38325.000
Воронеж,38313.312
Учалы,38240.000
Климово (Брянская область),38166.667
Бутурлиновка,38150.000
Сухой Лог,38140.000
Среднеуральск,38128.571
Ростов-на-Дону,38116.623
Череповец,38090.296
Старый Оскол,38064.917
Калужская область,38000.000
Кудряшовский,38000.000
Варна (Челябинская область),38000.000
Фершампенуаз (Челябинская область),38000.000
Чесма,38000.000
Балашов,37966.667
Брюховецкая станица,37966.667
Вологда,37927.407
Нягань,37914.706
Выселки,37875.000
Сортавала,37868.667
Дербент,37857.143
Кимовск,37850.000
Полазна,37833.333
Ишим,37776.714
Пенза,37760.675
Волгореченск,37733.333
Ардатов,37725.000
Саратов,37707.395
Аша,37700.000
Миньяр,37700.000
Белгород,37684.517
Омск,37681.958
Павлово,37675.000
Мегион,37656.500
Йошкар-Ола,37639.120
Набережные Челны,37625.769
Евсино,37612.500
Великие Луки,37604.167
Слоним,37586.150
Адыгейск,37550.000
Белогорск (Крым),37500.000
Сясьстрой,37500.000
Ханты-Мансийский АО - Югра,37500.000
Сычевка,37500.000
Минусинск,37500.000
Белоозёрский (Московская область),37500.000
Симеиз,37480.000
Зеленодольск (Республика Татарстан),37432.282
Кирово-Чепецк,37328.571
Соликамск,37295.000
Североуральск,37225.000
Юбилейный (Московская область),37225.000
Казань,37216.262
Уфа,37182.827
Заинск,37175.000
Зеленокумск,37150.000
Ивня,37142.857
Красково,37125.000
Грозный,37117.647
Троицк (Челябинская область),37110.714
Гаспра,37022.000
Мурмаши,37000.000
Ульяновск,36967.143
Острогожск,36966.667
Советск (Тульская область),36950.000
Данков,36944.000
Комаричи,36875.000
Волгодонск,36841.026
Карталы,36828.571
Пущино,36780.000
Ярцево,36766.667
Ленинский (Тульская область),36750.000
Новочебоксарск,36728.000
Краснокамск,36692.308
Дорохово (Московская область),36666.667
Карачев,36640.000
Атырау,36598.333
Березники,36576.641
Иноземцево,36562.500
Энгельс,36537.321
Билимбай,36500.000
Каскелен,36490.903
Красногвардейское (Ставропольский край),36428.571
Батайск,36386.033
Курган,36376.773
Невинномысск,36340.698
Камышлов,36300.000
Рошаль,36300.000
Октябрьский (Московская область),36250.000
Кировск (Мурманская область),36250.000
Маркова,36250.000
Губаха,36225.000
Киров (Кировская область),36176.961
Сосногорск,36166.667
Кузнецк,36160.000
Урень,36150.000
Калтан,36111.111
Черепаново,36100.000
Алушта,36053.500
Таксимо,36000.000
Ковылкино,35975.000
Усть-Лабинск,35968.036
Волгоград,35898.621
Гвардейск,35833.333
Грязи,35780.000
Ожерелье,35780.000
Нур-Султан,35762.925
Сосновоборск,35758.333
Бокситогорск,35750.000
Александрия (Ставропольский край),35750.000
Тамбов,35735.030
Московская область - Север,35724.968
Шахты,35713.855
Таганрог,35683.455
Тобольск,35677.854
Магнитогорск,35655.373
Сыктывкар,35654.430
Миасс,35642.593
Юрга,35525.000
Ленинское (Новосибирская область),35500.000
Новоалтайск,35500.000
Смоленск,35486.454
Арамиль,35408.333
Липецк,35402.325
Новошахтинск,35399.756
Самарканд,35392.699
Кисловодск,35317.188
Осинники,35302.273
Озеры,35280.000
Харьков,35222.442
Железногорск (Курская область),35217.500
Суздаль,35188.889
Брянск,35167.268
Рославль,35100.000
Кольчугино,35100.000
Новая Усмань,35041.667
Чебоксары,35038.298
Красногорский (Челябинская область),35030.769
Ижевск,35028.394
Нефтекамск,35012.329
Бетьки,35000.000
Удельная (Московская область),35000.000
Камские Поляны,35000.000
Актюбинский,35000.000
Оболенск,35000.000
Джалиль,35000.000
Палкино (Псковская область),35000.000
Большая Атня,35000.000
Большие Кайбицы,35000.000
Большие Тарханы,35000.000
Новое Девяткино,35000.000
Муслюмово,35000.000
Богатые Сабы,35000.000
Горный,35000.000
Полтавская,35000.000
Усады,35000.000
Кабанск,35000.000
Ильинский (Пермский край),35000.000
Тюлячи,35000.000
Пурпе,35000.000
"Воскресенское (Тульская область, Дубенский район)",35000.000
Карабаш (Республика Татарстан),35000.000
Карамышево (Псковская область),35000.000
Базарные Матаки,35000.000
Уруссу,35000.000
Старонижестеблиевская,35000.000
Грицовский,35000.000
Карпогоры,35000.000
Пестрецы,35000.000
Кунашак,35000.000
Куйбышевский Затон,35000.000
Красный Луч (Псковская область),35000.000
Сарманово,35000.000
Александровск (Пермский край),35000.000
Яковлево,35000.000
Сосновый Бор (Псковская область),35000.000
Октябрьский (Белгородская область),35000.000
Апастово,35000.000
Чувашское Дрожжаное,35000.000
Алупка,34975.000
Минеральные Воды,34958.163
Валуйки,34950.000
Гай,34906.500
Лабинск,34883.963
Гурьевск (Калининградская область),34875.000
Орел,34845.793
Элиста,34840.000
Альметьевск,34832.230
Курск,34832.099
Нефтекумск,34800.000
Гуково,34793.750
Заречный (Пензенская область),34775.000
Северская станица,34750.000
Калач,34738.889
Кинель,34731.353
Белорецк,34721.053
Губкин,34714.870
Московская область - Восток,34684.300
Красносельский (Краснодарский край),34642.857
Лысково,34618.750
Мценск,34600.000
Маркс,34580.000
Динская станица,34509.714
Сольцы,34450.000
Пласт,34450.000
Знаменск,34450.000
Холм,34450.000
Урай,34450.000
Кореновск,34395.250
Княгинино,34380.000
Рубцовск,34366.667
Новотитаровская,34290.000
Севск,34280.000
Хилок,34250.000
Алатырь,34180.000
Городец,34158.333
Тихорецк,34115.438
Иваново (Ивановская область),34088.130
Щёлкино,34000.000
Витязево,34000.000
Бийск,33962.411
Переславль-Залесский,33930.769
Борисоглебск,33928.571
Болгар,33925.000
Городище,33888.889
Ош,33847.725
Черкесск,33845.745
Новокуйбышевск,33757.143
Старовеличковская,33750.000
Суземка,33750.000
Булгаково,33750.000
Абинск,33742.857
Отрадный (Самарская область),33679.125
Железноводск,33649.476
Димитровград,33629.545
Шуя,33622.593
Оренбург,33588.705
Армавир,33566.667
Зерноград,33540.000
Россошь,33538.095
Криводановка,33500.000
Кущевская станица,33500.000
Богородск,33494.643
Георгиевск,33494.118
Новозыбков,33475.000
Верхняя Салда,33475.000
Таштагол,33416.667
Донецк (Ростовская область),33414.286
